Altersgruppe,2020_10,2020_11,2020_12,2020_13,2020_14,2020_15,2020_16,2020_17,2020_18,2020_19,2020_20,2020_21,2020_22,2020_23,2020_24,2020_25,2020_26,2020_27,2020_28,2020_29,2020_30,2020_31,2020_32,2020_33,2020_34,2020_35,2020_36,2020_37,2020_38,2020_39,2020_40,2020_41,2020_42,2020_43,2020_44,2020_45,2020_46,2020_47,2020_48,2020_49,2020_50,2020_51,2020_52,2020_53,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12,2021_13,2021_14,2021_15,2021_16,2021_17,2021_18,2021_19,2021_20,2021_21,2021_22,2021_23,2021_24,2021_25,2021_26,2021_27,2021_28,2021_29,2021_30,2021_31,2021_32,2021_33,2021_34,2021_35,2021_36,2021_37,2021_38,2021_39
45 - 49,1.88,14.18,39.78,55.3,51.39,36.31,22.22,14.89,8.87,8.5,6.3,4.82,4.06,3.07,2.73,7.28,5.1,4.12,3.45,4.4,6.33,7.32,8.65,10.88,13.14,11.49,11.62,13.2,16.63,17.01,22.79,38.61,59.17,110.37,159.23,179.68,176.09,183.45,171.75,175.18,210.44,235.96,184.76,162.17,185.71,150.83,123.05,100.6,85.13,67.36,71.55,76.78,81.33,98.34,123.56,154.74,151.65,166.35,192.8,202.32,171.09,141.14,96.33,68.02,39.41,24.77,16.54,8.93,5.2,4.91,6.3,8.29,13.07,17.26,22.28,36.9,58.77,77.88,87.71,86.07,71.85,63.13,66.05
40 - 44,1.73,11.53,36.61,47.3,47.02,34.1,20.76,14.2,9.25,8.21,7.27,4.91,4.32,3.56,3.22,9.39,5.42,4.4,3.83,5.11,6.54,8.82,9.96,13.02,14.61,13.42,13.18,13.95,17.21,17.54,21.43,38.07,59.16,108.13,160.54,180.83,183.19,188.33,179.4,179.55,222.14,244.24,193.77,163.58,194.48,153.9,126.91,104.3,87.1,70.56,73.17,84.25,87.04,108.9,142.23,185.07,169.57,189.04,218.5,220.49,194.99,157.47,108.64,81.12,44.9,32.51,21.94,10.76,7.21,5.48,7.03,10.29,14.97,20.11,29.44,47.91,76.47,105.54,115.91,110.41,90.63,79.36,84.8
35 - 39,1.27,10.36,33.14,45.07,41.65,31.2,18.57,14.41,8.75,8.02,6.64,5.18,4.58,2.93,3.67,7.34,5.6,4.24,3.84,4.78,6.77,7.24,9.74,12.14,14.37,13.54,12.19,13.22,17.11,19.06,21.8,34.47,58.59,101.85,152.82,169.36,173.77,173.88,164.79,172.92,207.84,231.19,180.05,152.76,191.82,151.35,119.9,98.22,84.32,67.95,70.1,79.05,86.48,108.9,143.44,178.87,169.87,179.31,213.04,213.25,189.42,150.68,106.33,79.8,45.6,31.97,20.8,10.32,6.84,6.41,7.17,12.23,17.13,22.04,30.1,46.21,71.22,99.52,113.38,109.62,90.98,80.14,85.36
30 - 34,1.26,9.75,37.28,47.95,43.98,31.73,21.94,16.38,10.23,8.84,7.17,5.73,4.89,3.77,4.06,7.64,5.9,4.71,4.71,5.46,6.95,7.7,9.39,12.9,17.2,15.63,17.05,17.1,21.94,23.71,27.69,42.92,70.22,122.22,174.23,190.6,190.77,183.49,170.42,172.33,209.67,237.04,182.8,167.29,211.09,164.62,127.7,104.88,89.31,71.04,74.86,82.39,89.01,109.47,143.66,179.56,173.06,184.4,218.59,215.68,190.26,150.59,106.79,82.59,49.98,31.84,21.54,11.48,7.62,7.79,10.57,15.81,23.76,27.55,37.76,55.41,79.75,108.76,119.71,113.23,92.82,83.48,86.05
25 - 29,1.5,10.82,39.31,52.99,48.97,38.13,25.36,19.61,13.42,10.29,7.71,6.8,6.19,4.37,4.77,7.86,6.33,6.19,4.53,6.09,8.08,10.05,11.9,16.53,23.51,24.08,22.9,24.2,29.19,28.3,34.41,52.93,88.17,144.35,203.8,219.73,210.54,195.45,177.3,180.33,212.46,238.55,185.81,165.99,212.38,168.21,125.98,105.19,88.44,72.09,77.01,81.8,84.05,107.7,138.18,165.55,165.1,181.56,214.78,212.73,181.69,146.83,102.04,77.7,48.38,31.53,21.83,12.2,9.14,9.74,15.53,26.15,34.15,38.49,47.35,70.73,99.04,124.56,123.91,119.32,96.52,80.99,83.16
20 - 24,1.52,6.97,31.38,49.24,48.63,37.47,26.6,20.77,12.85,10.96,9.09,6.79,6.25,4.93,5.45,8.31,5.51,5.58,5.08,6.51,8.18,11.31,16.21,25.15,33.53,28.84,27.06,27.84,32.85,34.37,37.65,60.52,95.2,164.18,225.85,254.53,239.3,221.33,193.99,199.16,234.16,262.48,196.79,186.35,236.31,185.27,139.59,113.7,94.98,79.48,85.63,91.12,95.52,117.65,149.81,185.59,184.55,212.65,250.61,244.49,208.79,169.99,121.21,90.79,52.38,37.63,26.08,13.58,9.53,12,19.18,32.7,45.35,50.52,60.54,96.11,125.49,149.29,148.18,135.04,107.35,89.38,87.58
15 - 19,1.12,4.59,13.63,23.71,27.26,21.78,14.47,10.21,6.7,6.57,4.67,3.86,4.06,4.09,2.84,6.27,4.19,3.48,3.78,4.9,6.24,9.27,13.81,18.81,22.42,21.22,19.5,21.02,26.4,26.55,33.79,52.52,75.12,123.42,182.5,213.47,221.26,208.39,189.33,195.77,223.82,215.12,149.14,125.79,161.99,136.78,106.59,88.11,74.05,60.37,66.46,77.96,81.54,104.23,140.56,182.45,167.77,191.59,274.67,262.41,219.76,179.02,125.4,98.57,56.81,43.66,31.22,17.29,11.25,10.48,14.72,32.67,40.95,46.76,60.14,88.95,141.5,176.81,197.32,173.69,143.25,117.46,115.25
10 - 14,0.51,2.75,6.86,10.24,11.61,8.16,6.32,5.08,3.67,3.4,3.19,2.89,3.24,2.81,3.21,5.19,3.94,2.84,2.75,3.94,5.16,6.81,9.83,14.72,15.53,13.04,11.72,13.45,13.99,15.77,19.17,30.79,44.61,74.16,110.26,129.17,144.43,143.1,140,139.19,153.61,142.7,91.44,71.59,89.93,73.32,60.17,50.74,46.58,38.05,42.35,50.72,62.33,77.43,112.91,154.74,131,139.92,206.81,235.87,193.71,165.33,123.36,101.6,58.41,42.67,35.67,17.9,12.1,8.34,7.99,14.39,21.12,26.92,40.24,70.4,144.8,186.85,227.04,208.86,197.3,169.6,178.08
5 - 9,0.27,1.5,4.53,6.68,7.81,6.36,4.37,4.13,3.22,2.82,2.98,2.12,3.01,2.66,3.3,4.75,3.73,3.25,3.09,3.68,4.05,5.31,7.65,11,10.2,9.47,8.53,8.72,9.55,10.46,11.64,16.69,26.08,49.42,74.97,90.26,96.94,105.13,102.47,98.79,114.28,115.51,81.08,52.11,64.18,58.84,51.09,44.06,43.01,37.3,41.64,53.77,73.09,98.71,127.77,179.74,139.28,126.05,187.69,225.87,184.41,149.32,110.38,91.63,50.31,40.94,30.67,15.19,9.26,6.47,5.58,8.69,12.8,19.48,30.96,49.34,99.71,150.04,188.03,176.63,157.66,141.72,142.37
0 - 4,0.23,0.88,3.61,6.41,6.82,5.98,3.99,4.7,3.36,3.48,2.93,3.08,2.2,2.7,2.78,4.01,3.41,3.61,3.71,3.53,4.06,3.79,4.75,6.94,7.17,5.6,5.73,5.71,7.32,7.52,8.25,13.18,22.47,36.78,56.22,60.91,60.86,60.08,58.46,58.09,67.07,78.05,53.14,38.5,47.96,46.85,42.81,38.57,38.14,34,34.71,47.58,59.83,75.5,102.19,126.8,112.74,101.63,128.41,140.76,127.73,103.8,74.9,58.01,35.64,25.8,15.5,9.62,6.49,4.37,4.52,6.51,8.73,13.18,19.13,31.15,47.1,74.67,86.26,88.35,71.59,58.72,55.28
